"","external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"81","c565b","9",2,2,2,2,5,5,7,4,3,21,32,"Jakość filmów diametralnie się między sobą różni, w takim razie jak ocenić je zbiorczo za pomocą jednego określenia? Uważam, że ocena powinna być wystawiana codziennie po każdym pojedynczym filmie.","2,2,2,2,5,5"
"82","f1308","9",2,2,2,NA,5,NA,5,3,3,21,32,"Wydaje mi się, że początkiem tygodnia (chyba tylko nawet w poniedziałek) film był słabej jakości. Później filmy miały umiarkowaną jakość. Ale mam wrażenie, że im bliżej niedzieli tym jakość się poprawiała.","2,2,2,NA,5,NA"
"83","3adab","10",5,5,2,2,2,2,7,4,2,23,37,"Niekiedy bywają dźwięki przełączania się pomiędzy wideo
Słaba jakość filmików była w tym tygodniu","5,5,2,2,2,2"
"84","57ea9","10",5,5,2,2,2,2,7,4,4,23,37,"Poniedziałek i wtorek super reszta dobra","5,5,2,2,2,2"
"85","7d03b","10",5,5,2,2,2,2,7,4,2,23,37,"Poniedziałek - Wtorek i Piątek - Sobota: słaba jakość 
Środa I Czwartek: dobra jakość","5,5,2,2,2,2"
"86","88df4","10",5,5,2,2,2,2,7,4,1,23,37,"Prawie wszystkie filmy miały słabą jakość Może jeden trafił się dobrej jakości w połowie tygodnia Obraz falował i był nieostry trudno było zobaczyć szczegóły","5,5,2,2,2,2"
"87","bb4ea","10",5,5,2,2,2,2,7,4,3,23,37,"Jakoś zmieniała się w trakcie wyświetlania.","5,5,2,2,2,2"
"88","d45b5","10",5,5,2,2,2,2,7,4,2,23,37,"Większość filmików była w kiepskiej jakości","5,5,2,2,2,2"
"89","f1308","10",5,5,2,NA,2,NA,5,2,3,23,37,"Filmy początkiem tygodnia były bardzo dobrej jakości, a z każdym kolejnym dniem ich jakość spadała.","5,5,2,NA,2,NA"
"90","f75f6","10",5,5,2,2,2,2,7,4,2,23,37,"Pn - wspaniała
Wt bardzo dobra 
Śr - zła
Czw - zła
Pt - zła
SB zła","5,5,2,2,2,2"
"91","3adab","11",2,2,4,4,2,2,7,4,3,24,32,"Niekiedy jakość była wspaniała, ale pod koniec tygodnia słaba","2,2,4,4,2,2"
"92","57ea9","11",2,2,4,4,2,2,7,4,4,24,32,"Środa i czwartek wspaniała reszta dobra","2,2,4,4,2,2"
"93","88df4","11",2,2,4,4,2,2,7,4,3,24,32,"Na ogół filmy nie były dobrej jakości ale pojawiły się może dwa dobrej stąd ogólna ocena umiarkowana","2,2,4,4,2,2"
"94","c05b7","11",2,2,4,4,2,2,7,4,4,24,32,"W środę i czwartek jakość filmów była wspaniała, a w pozostałe dni umiarkowana","2,2,4,4,2,2"
"95","f1308","11",NA,2,4,NA,2,2,5,3,3,24,32,"Opinia dotyczy jedynie filmów z początku i końca tygodnia. Filmiki ze środka tygodnia miały bardzo dobrą jakość.","NA,2,4,NA,2,2"
"96","023ce","12",2,2,2,NA,NA,4,5,3,3,19,33,"jakość filmów różniła się każdego dnia więc ciężko jest ocenić jakość filmów z całego tygodnia","2,2,2,NA,NA,4"
"97","57ea9","12",2,2,2,2,4,4,7,4,5,19,33,"Piątek i sobota wspaniała reszta dobra","2,2,2,2,4,4"
"98","7d03b","12",2,2,2,2,4,4,7,4,2,19,33,"Poniedziałek-czwartek: słaba jakość 
Piątek-sobota: dobra jakość","2,2,2,2,4,4"
"99","88df4","12",2,2,2,2,4,4,7,4,3,19,33,"Tylko ostatnie dwa filmiki były dobrej jakości te poprzednie miały słabą ostrość i momentami obraz był słabo widoczny.","2,2,2,2,4,4"
"100","c05b7","12",2,2,2,2,4,4,7,4,2,19,33,"W piątek i sobotę jakość filmów była lepsza","2,2,2,2,4,4"
"101","f1308","12",2,2,2,2,4,4,7,4,5,19,33,"Filmy wraz z kolejnymi dniami tygodnia miały co raz to lepszą jakość. Jeśli dobrze pamiętam, w środę film delikatnie się też przycinał.","2,2,2,2,4,4"
"102","023ce","13",4,4,2,NA,NA,NA,4,1,3,20,31,"Jakość filmów różniła się każdego dnia","4,4,2,NA,NA,NA"
"103","57ea9","13",4,4,2,2,2,2,7,4,4,20,31,"Poniedziałek i wtorek wspaniała reszta dobra","4,4,2,2,2,2"
"104","88df4","13",4,4,2,2,2,2,7,4,2,20,31,"Prawie wszystkie filmiki słabej jakości Może jeden lub dwa z początku tygodnia miały bardzo dobra jakość Pozostałe były nieostre a obraz rozmyty","4,4,2,2,2,2"
"105","f1308","13",4,4,2,2,2,NA,6,3,3,20,31,"Początkiem i końcem tygodnia wyświetlane filmy były słabej jakości. Natomiast w środku tygodnia były zdecydowanie lepsze. W tym tygodniu chyba cały przedział jakości wideo był zaprezentowany, ale gdybym miał przyporządkować konkretną jakość do poszczególnych dni to chyba nie byłbym w stanie tego zrobić.","4,4,2,2,2,NA"
"106","3adab","14",4,4,2,2,4,4,7,2,4,24,36,"Na początku tygodnia filmiki byłej złej/umiarkowanej jakości, ale pod koniec już były bardzo dobrej jakości","4,4,2,2,4,4"
"107","57ea9","14",4,4,2,2,4,4,7,2,5,24,36,"Środa i czwartek dobra reszta wspaniała","4,4,2,2,4,4"
"108","88df4","14",4,4,2,2,4,4,7,2,3,24,36,"Filmy były zazwyczaj dobrej i bardzo dobrej  jakości ale dwa filmy miały słabą ostrość  stąd ogólna ocena","4,4,2,2,4,4"
"109","898c1","14",4,4,2,2,4,4,7,2,3,24,36,"Na początku tygodnia jakość lepsza niż pod koniec. Miła odmiana od filmików z naturą ;)","4,4,2,2,4,4"
"110","bb4ea","14",4,4,2,2,4,4,7,2,3,24,36,"Wszystkie filmy były w zwolnionym tempie.","4,4,2,2,4,4"
"111","c05b7","14",4,4,2,2,4,4,7,2,4,24,36,"W środę i czwartek jakość filmów była słaba, a w pozostałe dni wspaniała","4,4,2,2,4,4"
"112","c42b6","14",4,4,2,2,4,4,7,2,4,24,36,"Zmieniła się tematyka. W niektóre dni jakość była wspaniała, w niektóre słaba. Dlatego ogólna ocena dobra.","4,4,2,2,4,4"
"113","f1308","14",NA,4,2,2,NA,4,5,2,3,24,36,"W tym tygodniu znów wyświetlany był cały przekrój jakości, od tej najlepszej do najgorszej.","NA,4,2,2,NA,4"
"114","f75f6","14",4,4,2,2,4,4,7,2,3,24,36,"Pn - dobra
Wt - dobra
Śr - zła
Czw - zła
Pt - umiarkowana
SB - bardzo dobra","4,4,2,2,4,4"
"115","57ea9","15",4,4,2,2,2,2,7,4,4,22,34,"Poniedziałek i wtorek wspaniała reszta dobra","4,4,2,2,2,2"
