"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"40c71",3,5,5,5,5,2,2,7,2,4,25,38,"Jakość różniła się. W pierwszej części tygodnia jakość była 5/5, w kilku ostatnich dniach była w okolicach 3/5.","5,5,5,5,2,2"
"4d5eb",3,NA,5,5,5,NA,2,5,1,3,25,38,NA,"NA,5,5,5,NA,2"
"50bf3",3,5,5,5,5,2,2,7,2,3,25,38,NA,"5,5,5,5,2,2"
"54ed7",3,NA,5,5,5,2,2,6,2,5,25,38,NA,"NA,5,5,5,2,2"
"5542e",3,5,5,5,5,2,2,7,2,4,25,38,NA,"5,5,5,5,2,2"
"559e2",3,5,5,5,5,NA,2,6,1,3,25,38,NA,"5,5,5,5,NA,2"
"57ea9",3,5,5,5,5,2,2,7,2,5,25,38,"Piątek i sobota jakość dobra reszta dni wspaniała","5,5,5,5,2,2"
"5870e",3,5,NA,NA,NA,2,2,4,2,3,25,38,NA,"5,NA,NA,NA,2,2"
"5aa56",3,5,5,5,5,2,2,7,2,4,25,38,NA,"5,5,5,5,2,2"
"5c3d1",3,NA,5,5,5,2,2,6,2,4,25,38,NA,"NA,5,5,5,2,2"
"7d03b",3,5,5,5,5,2,2,7,2,4,25,38,"Poniedziałek czwartek dobra jakość 
Piątek sobota zła jakość","5,5,5,5,2,2"
"88df4",3,5,5,5,5,2,2,7,2,3,25,38,"Ostatnie dwa filmiki były nieostre i złej jakości, w przeciwieństwie do tych z początku tygodnia","5,5,5,5,2,2"
"898c1",3,5,5,5,5,2,2,7,2,5,25,38,"Od poniedziałku do czwartku - jakość wspaniała, piątek i sobota - jakość średnia","5,5,5,5,2,2"
"8a560",3,5,5,5,5,2,2,7,2,3,25,38,NA,"5,5,5,5,2,2"
"8caa8",3,5,5,5,5,2,2,7,2,3,25,38,NA,"5,5,5,5,2,2"
"9d7d1",3,5,5,5,NA,2,2,6,2,3,25,38,NA,"5,5,5,NA,2,2"
"a711f",3,5,5,5,5,2,2,7,2,3,25,38,"Filmiki rożnej jakości, od słabej do dobrej","5,5,5,5,2,2"
"b7150",3,5,5,NA,5,2,2,6,2,4,25,38,NA,"5,5,NA,5,2,2"
"bb4ea",3,5,5,5,5,2,2,7,2,4,25,38,NA,"5,5,5,5,2,2"
"bb8d0",3,5,5,5,5,NA,2,6,1,4,25,38,NA,"5,5,5,5,NA,2"
"bd209",3,5,5,5,5,2,2,7,2,3,25,38,NA,"5,5,5,5,2,2"
"c05b7",3,5,5,5,5,2,2,7,2,5,25,38,"W piątek i sobotę jakość filmów była gorsza niż w pozostałe dni","5,5,5,5,2,2"
"c42b6",3,5,5,5,5,2,2,7,2,5,25,38,"Raz była gorsza jakość filmu.","5,5,5,5,2,2"
"c565b",3,5,5,5,5,2,2,7,2,3,25,38,"Ciężko jest ocenić zbiorczo filmy z całego tygodnia, w momencie gdy jakość może się znacząco różnić zależnie od dnia…","5,5,5,5,2,2"
"d45b5",3,5,5,5,5,2,2,7,2,4,25,38,"Do piątku jakoś filmów była naprawdę dobra, żywe kolory i wysoką rozdzielczość. Momentami widoczne przejścia między kolejnymi klatkami. W piątek i sobotę rozdzielczość była bardzo słaba.","5,5,5,5,2,2"
"f0ed7",3,5,5,5,5,2,NA,6,1,3,25,38,NA,"5,5,5,5,2,NA"
"f1308",3,5,5,5,5,2,2,7,2,3,25,38,"Moja opinia dotyczy filmików z piątku i soboty, kiedy to były filmy o gorszej jakości w porównaniu do filmów o wspaniałej jakości w pozostałe dni.","5,5,5,5,2,2"
"f75f6",3,5,5,5,5,2,2,7,2,4,25,38,"Pn 20.03 jakość super 
Wt - średnia
Śr - super 
Czw - super
Pt - średnia
Sb - średnia","5,5,5,5,2,2"
"f7c29",3,5,5,5,5,2,2,7,2,3,25,38,NA,"5,5,5,5,2,2"
"f865c",3,5,NA,5,5,2,2,6,2,4,25,38,NA,"5,NA,5,5,2,2"
"00c2c",4,2,2,5,5,5,5,7,2,4,21,32,"Jeden filmik słaba jakość","2,2,5,5,5,5"
"023ce",4,2,2,5,5,5,5,7,2,5,21,32,NA,"2,2,5,5,5,5"
"0d293",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"27e23",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"343ab",4,2,2,NA,5,5,NA,5,2,4,21,32,NA,"2,2,NA,5,5,NA"
"365cd",4,2,2,5,5,5,5,7,2,5,21,32,NA,"2,2,5,5,5,5"
"3adab",4,NA,NA,5,5,NA,5,4,NA,5,21,32,NA,"NA,NA,5,5,NA,5"
"40c71",4,2,2,5,NA,5,5,6,2,3,21,32,NA,"2,2,5,NA,5,5"
"54ed7",4,2,NA,5,5,5,5,6,1,5,21,32,NA,"2,NA,5,5,5,5"
"559e2",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"57ea9",4,2,2,5,5,NA,5,6,2,5,21,32,"Poniedziałek i wtorek dobra reszta wspaniała","2,2,5,5,NA,5"
"5aa56",4,2,2,5,5,5,5,7,2,5,21,32,NA,"2,2,5,5,5,5"
"5c3d1",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"7d03b",4,2,2,5,5,5,5,7,2,4,21,32,"Przez 4 z 6 dni w tygodniu była bardzo dobra jakość, dwa dni była słabsza","2,2,5,5,5,5"
"88df4",4,2,2,5,5,5,5,7,2,3,21,32,"Chyba dwa lub trzy filmy na początku tygodnia były złej jakosci Potem jakość była bardzo dobra Dlatego ogólna ocena uwzględnia również te filmy z początku tygodnia","2,2,5,5,5,5"
"898c1",4,NA,2,5,5,5,5,6,1,4,21,32,NA,"NA,2,5,5,5,5"
"8a560",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"8caa8",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"9d7d1",4,2,2,5,NA,5,5,6,2,3,21,32,NA,"2,2,5,NA,5,5"
"a711f",4,2,2,5,5,5,5,7,2,5,21,32,NA,"2,2,5,5,5,5"
"b7150",4,2,2,NA,5,5,5,6,2,4,21,32,NA,"2,2,NA,5,5,5"
"bb4ea",4,2,2,5,5,5,5,7,2,3,21,32,"Na początku tygodnia jakoś była słaba.","2,2,5,5,5,5"
"bb8d0",4,2,2,NA,5,5,5,6,2,5,21,32,NA,"2,2,NA,5,5,5"
"bd209",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"c05b7",4,2,2,5,5,5,5,7,2,4,21,32,NA,"2,2,5,5,5,5"
"c42b6",4,2,2,5,5,5,5,7,2,5,21,32,"Jeden film z początku tygodnia miał słabszą jakość. Pozostałe filmy bardzo dobra jakość","2,2,5,5,5,5"
"d45b5",4,2,2,5,5,5,5,7,2,3,21,32,"Początkowe filmiki były słabej jakoś, późniejsze już w bardzo dobrej.","2,2,5,5,5,5"
"f0ed7",4,2,NA,5,5,5,5,6,1,4,21,32,NA,"2,NA,5,5,5,5"
"f1308",4,2,2,5,5,5,5,7,2,5,21,32,"Opinia dotyczy tylko filmów od środy do soboty włącznie. Jeśli dobrze pamiętam, film z poniedziałku i wtorku był o wiele gorszej jakości. Mam też wrażenie, że czasami filmy się delikatnie przycinają (nie są płynne), ale niestety nie jestem w stanie wskazać, które to były dokładnie.","2,2,5,5,5,5"
"f75f6",4,2,2,5,5,5,5,7,2,5,21,32,"W poniedziałek i wtorek tylko była gorsza","2,2,5,5,5,5"
"f7c29",4,2,2,5,5,NA,5,6,2,4,21,32,NA,"2,2,5,5,NA,5"
"f865c",4,2,2,5,5,5,5,7,2,4,21,32,"Większość filmów raczej dobrej jakości. Chociaż w 1 albo 2 dniach była słaba.","2,2,5,5,5,5"
"00c2c",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"023ce",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"0d293",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"27e23",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"343ab",5,4,4,NA,2,4,NA,5,1,3,28,35,NA,"4,4,NA,2,4,NA"
"365cd",5,4,4,2,2,4,4,7,2,5,28,35,NA,"4,4,2,2,4,4"
"3fe63",5,4,NA,2,2,4,4,6,2,4,28,35,"Jakość była mieszana, na początku tygodnia bardzo dobra, potem słabsza, a potem znów lepsza, przynajmniej takie mam wrażenie. Trudno wystawić jedną ocenę.","4,NA,2,2,4,4"
"4d5eb",5,4,4,2,2,NA,4,6,2,3,28,35,NA,"4,4,2,2,NA,4"
"50bf3",5,4,4,NA,2,NA,NA,4,1,4,28,35,NA,"4,4,NA,2,NA,NA"
"54ed7",5,4,4,2,2,4,4,7,2,5,28,35,NA,"4,4,2,2,4,4"
"5542e",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"559e2",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"57ea9",5,4,4,2,2,NA,4,6,2,5,28,35,"Środa czwartek jakość dobra reszta dni wspaniała","4,4,2,2,NA,4"
"5870e",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"5aa56",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"5c3d1",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"7d03b",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"88df4",5,4,4,2,2,4,4,7,2,3,28,35,"Były dwa filmy gorszej jakości o ile pamiętam w środku tygodnia","4,4,2,2,4,4"
"898c1",5,4,4,2,2,4,4,7,2,3,28,35,"Większość tygodnia jakość średnia, piątek i Sobota jakość dobra","4,4,2,2,4,4"
"8a560",5,4,4,2,NA,4,4,6,1,3,28,35,NA,"4,4,2,NA,4,4"
"8caa8",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"9d7d1",5,4,4,2,2,4,4,7,2,4,28,35,NA,"4,4,2,2,4,4"
"a711f",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
