"video","mos_lts","std_lts","mos_fb","std_fb"
"360p_clip_4_codec_1_quality_3",2.55555555555556,0.734630886692453,2.42492336740125,0.078270554305875
"360p_clip_4_codec_2_quality_1",1.9375,0.669014682321166,1.76167688800934,0.095284589090609
"360p_clip_4_codec_3_quality_1",1.63636363636364,0.652791209833867,1.62468145234762,0.08447592512516
"360p_clip_4_codec_3_quality_2",2.46875,0.879309663242118,2.14284440895252,0.047981380790459
"360p_clip_6_codec_3_quality_1",1.17241379310345,0.384425872219245,1.23302714879164,0.089679772696673
"360p_clip_7_codec_2_quality_2",2.5625,0.800705334226059,2.36623317633868,0.087350015321063
"360p_clip_8_codec_1_quality_2",3.35294117647059,1.12498762124305,3.08925102693294,0.111905971037112
"360p_clip_8_codec_1_quality_3",3.42857142857143,1.00836834673103,3.2123258987407,0.107061520835655
"360p_clip_8_codec_2_quality_1",2.17142857142857,0.8219673059805,1.57797917452656,0.09218484030119
"360p_clip_8_codec_3_quality_2",2.82352941176471,0.86936369051247,2.38823199818395,0.09154328691878
"360p_clip_8_codec_3_quality_3",3.84375,1.16700263979578,2.98330336655484,0.116005580327961
"540p_clip_10_codec_1_quality_1",2.90909090909091,0.80481505498299,2.5499022662056,0.090906355691087
"540p_clip_10_codec_1_quality_4",3.91176470588235,0.995981229554889,3.86896796449347,0.075915594464802
"540p_clip_10_codec_2_quality_1",1.69444444444444,0.576662537832728,1.3323216956565,0.079545919536097
"540p_clip_10_codec_3_quality_1",1.57142857142857,0.850111213683393,1.23493679108842,0.076537095484861
"540p_clip_10_codec_3_quality_2",2.62857142857143,0.9102589898328,2.26855285447762,0.095699545845348
"540p_clip_11_codec_1_quality_1",2.88888888888889,1.06308923903816,2.84529990783946,0.09618533783227
"540p_clip_11_codec_1_quality_2",3.26470588235294,1.10943129109527,3.09403910636051,0.112535414697129
"540p_clip_11_codec_1_quality_4",3.85714285714286,1.03306674070764,4.05102550555769,0.132518416092558
"540p_clip_11_codec_2_quality_1",1.65625,0.827330530351451,1.47753172219878,0.109530445868185
"540p_clip_11_codec_3_quality_2",2.34210526315789,0.908706112795006,2.31238881262759,0.117833309783029
"540p_clip_12_codec_3_quality_3",3.63333333333333,0.718395402284138,3.58274077208572,0.056261892835507
"540p_clip_2_codec_2_quality_4",3.84848484848485,1.12141685272505,4.2366458427522,0.081011622242914
"540p_clip_3_codec_2_quality_1",2.42424242424242,0.830297500534561,1.94091665050801,0.092891425290139
"540p_clip_4_codec_2_quality_2",2.34375,0.827330530351451,2.22892277191443,0.083132043472787
"540p_clip_7_codec_3_quality_3",3.06060606060606,1.02893737477658,3.13972167634601,0.117055646634287
"540p_clip_8_codec_1_quality_1",3.24242424242424,0.902437775912522,2.92102956790017,0.078102654876655
"540p_clip_8_codec_1_quality_2",3.55882352941176,1.02072987761991,3.62141625753192,0.092199721208533
"540p_clip_8_codec_2_quality_2",2.93103448275862,0.70361487450566,2.74865955104796,0.094708589030824
"540p_clip_8_codec_2_quality_3",3.84375,0.954087133371222,3.92973719262352,0.097394560940204
"540p_clip_8_codec_3_quality_1",1.8,0.677365137434578,1.70131112744275,0.105968596286053
"540p_clip_9_codec_2_quality_1",1.3125,0.535061045658012,1.00286150837031,0.068329650745112
"720p_clip_1_codec_1_quality_5",2.57142857142857,1.00836834673103,2.45117581337918,0.13931559304912
"720p_clip_10_codec_1_quality_1",2.45454545454545,0.753778361444409,2.34500401539321,0.118686621122411
"720p_clip_10_codec_1_quality_2",3.21875,0.974989660821938,3.01725299333121,0.092942887275524
"720p_clip_10_codec_2_quality_1",1.22857142857143,0.731063459292424,1.05478835994543,0.073180212438074
"720p_clip_10_codec_2_quality_2",2,0.594088525786005,1.68897123142195,0.090304201851405
"720p_clip_10_codec_2_quality_4",3.90909090909091,1.10010330093463,4.03352569723655,0.086423431914547
"720p_clip_11_codec_1_quality_5",3.96969696969697,0.918043043818224,3.78024972060454,0.091172400381564
"720p_clip_11_codec_2_quality_1",1.71428571428571,0.750350058362118,1.42236895181803,0.11137799139644
"720p_clip_11_codec_2_quality_2",2.57575757575758,0.936426152664448,2.2947321271084,0.093627743910662
"720p_clip_11_codec_3_quality_1",1.65714285714286,0.72529333387814,1.26247621667476,0.047427027931049
"720p_clip_11_codec_3_quality_3",3.22222222222222,1.14918880982845,3.02707693689446,0.102217763894192
"720p_clip_12_codec_3_quality_3",2.66666666666667,0.853912563829966,2.80670828005214,0.097525098674145
"720p_clip_3_codec_3_quality_1",1.22222222222222,0.48468611999998,1.04793025195849,0.072189643965311
"720p_clip_4_codec_2_quality_1",1.55882352941176,0.704581391757835,1.51311537429508,0.098013658818246
"720p_clip_5_codec_1_quality_1",3.63888888888889,0.833333333333333,3.14021575482953,0.091322932876208
"720p_clip_5_codec_1_quality_2",3.88571428571429,1.15736588783294,3.5062658458324,0.083590799486116
"720p_clip_5_codec_1_quality_4",4.41176470588235,0.656789577429185,4.08959413486013,0.09069726377993
"720p_clip_5_codec_3_quality_1",1.875,0.751342883796911,1.75511881883951,0.094430404357535
"720p_clip_5_codec_3_quality_2",3.18918918918919,0.810960947060743,2.74431422011989,0.063654277299009
"720p_clip_7_codec_1_quality_5",3.97058823529412,0.869876135997884,4.13876406005961,0.096677837640796
"720p_clip_8_codec_1_quality_4",3.78787878787879,0.819968587720581,4.34998473391304,0.081347807998495
"720p_clip_9_codec_2_quality_4",3.71875,0.771858878961859,3.7209402249623,0.096225625285281
"src_1080p_clip_10",3.51428571428571,1.01086534192038,3.49936255226598,0.059929079903685
"src_1080p_clip_6",4.25806451612903,0.773207257056988,4.68014056666902,0.049601801910664
"src_1080p_clip_7",4.32142857142857,0.904866326472076,4.49813738499689,0.055029653368334
"src_360p_clip_4",2.71875,0.728868986855663,2.4889373583996,0.055967168924968
"src_360p_clip_5",3.02777777777778,0.844684594089453,3.5047538414377,0.051183899652291
"src_360p_clip_8",3.65714285714286,1.13611456399476,3.38410512362176,0.063411263127092
"src_360p_clip_9",2.85294117647059,0.657467728954628,2.63837799890777,0.059756957806779
"src_540p_clip_10",4.19444444444444,0.980362744656849,4.20604219897035,0.053152389462222
"src_540p_clip_11",3.63333333333333,1.18854687672002,3.98184715625077,0.069017727856542
"src_540p_clip_6",3.90625,0.689056156707691,4.0103183882942,0.05100057420163
"src_540p_clip_8",3.88888888888889,0.979147669521895,4.3776607670761,0.054948529126169
"src_720p_clip_10",4,0.842423539174232,4.28623044306689,0.051898882631117
"src_720p_clip_11",3.78787878787879,0.857233039988826,3.5546802446178,0.066091285307481
"src_720p_clip_5",4.54054054054054,0.930788035143537,4.49173338317738,0.054579634361192
